Q1;How poorly or well would you say the system of democracy in the US works these days?
T2Q10DORDER4;ORDER DEMOCRATIC CANDIDATES SHOWN FOURTH
T2Q10DORDER5;ORDER DEMOCRATIC CANDIDATES SHOWN FIFTH
T2Q10DORDER6;ORDER DEMOCRATIC CANDIDATES SHOWN SIXTH
T2Q10DORDER7;ORDER DEMOCRATIC CANDIDATES SHOWN SEVENTH
T2Q10DORDER8;ORDER DEMOCRATIC CANDIDATES SHOWN EIGHTH
T2Q10DORDER9;ORDER DEMOCRATIC CANDIDATES SHOWN NINETH
T2Q10DORDER10;ORDER DEMOCRATIC CANDIDATES SHOWN TENTH
T2Q10DORDER11;ORDER DEMOCRATIC CANDIDATES SHOWN ELEVENTH
T2Q10DORDER12;ORDER DEMOCRATIC CANDIDATES SHOWN TWELTH
T2Q10DORDER13;ORDER DEMOCRATIC CANDIDATES SHOWN THIRTEENTH
T2Q10DORDER14;ORDER DEMOCRATIC CANDIDATES SHOWN FOURTEENTH
T2Q10DORDER15;ORDER DEMOCRATIC CANDIDATES SHOWN FIFTEENTH
T2Q10DORDER16;ORDER DEMOCRATIC CANDIDATES SHOWN SIXTEENTH
T2Q10DORDER17;ORDER DEMOCRATIC CANDIDATES SHOWN SEVENTEENTH
T2Q10DORDER18;ORDER DEMOCRATIC CANDIDATES SHOWN EIGHTEENTH
T2Q10RDORDER1;ORDER REPUBLICAN CANDIDATES SHOWN FIRST
T2Q10RDORDER2;ORDER REPUBLICAN CANDIDATES SHOWN SECOND
T2Q10RDORDER3;ORDER REPUBLICAN CANDIDATES SHOWN THIRD
T2Q10RDORDER4;ORDER REPUBLICAN CANDIDATES SHOWN FOURTH
T2Q10_1;[Joe Biden] How strongly would you oppose or favor each of these candidates?
T2Q10_2;[Bernie Sanders] How strongly would you oppose or favor each of these candidates?
T2Q10_4;[Julian Castro] How strongly would you oppose or favor each of these candidates?
T2Q10_5;[Kamala Harris] How strongly would you oppose or favor each of these candidates?
T2Q10_6;[John Delaney] How strongly would you oppose or favor each of these candidates?
T2Q10_7;[Pete Buttigieg] How strongly would you oppose or favor each of these candidates?
T2Q10_9;[Tulsi Gabbard] How strongly would you oppose or favor each of these candidates?
T2Q10_10;[Elizabeth Warren] How strongly would you oppose or favor each of these candidates?
T2Q10_11;[Andrew Yang] How strongly would you oppose or favor each of these candidates?
T2Q10_12;[Cory Booker] How strongly would you oppose or favor each of these candidates?
T2Q10_13;[Beto O’Rourke] How strongly would you oppose or favor each of these candidates?
T2Q10_14;[Tom Steyer] How strongly would you oppose or favor each of these candidates?
T2Q10_15;[Steve Bullock] How strongly would you oppose or favor each of these candidates?
T2Q10_17;[Marianne Williamson] How strongly would you oppose or favor each of these candidates?
T2Q10_18;[Tim Ryan] How strongly would you oppose or favor each of these candidates?
T2Q10_21;[Michael Bennet] How strongly would you oppose or favor each of these candidates?
T2Q10_22;[Amy Klobuchar] How strongly would you oppose or favor each of these candidates?
T2Q10_23;[Bill de Blasio] How strongly would you oppose or favor each of these candidates?
T2Q10_25;[Bill Weld] How strongly would you oppose or favor each of these candidates?
T2Q10_26;[President Donald Trump] How strongly would you oppose or favor each of these candidates?
T2Q10_27;[Mark Sanford] How strongly would you oppose or favor each of these candidates?
T2Q10_28;[Joe Walsh] How strongly would you oppose or favor each of these candidates?
T2Q11A_1;[Immigration] How strongly would you oppose or favor Joe Biden's position on the following issues?
T2Q11B_1;[Environment] How strongly would you oppose or favor Joe Biden's position on the following issues?
T2Q11C_1;[Economy and Taxes] How strongly would you oppose or favor Joe Biden's position on the following issues?
T2Q11D_1;[Healthcare] How strongly would you oppose or favor Joe Biden's position on the following issues?
T2Q11E_1;[Foreign Policy] How strongly would you oppose or favor Joe Biden's position on the following issues?
T2Q11A_2;[Immigration] How strongly would you oppose or favor Bernie Sanders's position on the following issues?
T2Q11B_2;[Environment] How strongly would you oppose or favor Bernie Sanders's position on the following issues?
T2Q11C_2;[Economy and Taxes] How strongly would you oppose or favor Bernie Sanders's position on the following issues?
T2Q11D_2;[Healthcare] How strongly would you oppose or favor Bernie Sanders's position on the following issues?
T2Q11E_2;[Foreign Policy] How strongly would you oppose or favor Bernie Sanders's position on the following issues?
T2Q11A_4;[Immigration] How strongly would you oppose or favor Julian Castro's position on the following issues?
T2Q11B_4;[Environment] How strongly would you oppose or favor Julian Castro's position on the following issues?
T2Q11C_4;[Economy and Taxes] How strongly would you oppose or favor Julian Castro's position on the following issues?
T2Q11D_4;[Healthcare] How strongly would you oppose or favor Julian Castro's position on the following issues?
T2Q11E_4;[Foreign Policy] How strongly would you oppose or favor Julian Castro's position on the following issues?
T2Q11A_5;[Immigration] How strongly would you oppose or favor Kamala Harris's position on the following issues?
T2Q11B_5;[Environment] How strongly would you oppose or favor Kamala Harris's position on the following issues?
T2Q11C_5;[Economy and Taxes] How strongly would you oppose or favor Kamals Harris's position on the following issues?
T2Q11D_5;[Healthcare] How strongly would you oppose or favor Kamala Harris's position on the following issues?
T2Q11E_5;[Foreign Policy] How strongly would you oppose or favor Kamala Harris's position on the following issues?
T2Q11A_6;[Immigration] How strongly would you oppose or favor John Delaney's position on the following issues?
T2Q11B_6;[Environment] How strongly would you oppose or favor John Delaney's position on the following issues?
T2Q11C_6;[Economy and Taxes] How strongly would you oppose or favor John Delaney's position on the following issues?
T2Q11D_6;[Healthcare] How strongly would you oppose or favor John Delaney's position on the following issues?
T2Q11E_6;[Foreign Policy] How strongly would you oppose or favor John Delaney's position on the following issues?
T2Q11A_7;[Immigration] How strongly would you oppose or favor Pete Buttigieg's position on the following issues?
T2Q11B_7;[Environment] How strongly would you oppose or favor Pete Buttigieg's position on the following issues?
T2Q11C_7;[Economy and Taxes] How strongly would you oppose or favor Pete Buttigieg's position on the following issues?
T2Q11D_7;[Healthcare] How strongly would you oppose or favor Pete Buttigieg's position on the following issues?
T2Q11E_7;[Foreign Policy] How strongly would you oppose or favor Pete Buttigieg's position on the following issues?
T2Q11A_9;[Immigration] How strongly would you oppose or favor Tulsi Gabbard's position on the following issues?
T2Q11B_9;[Environment] How strongly would you oppose or favor Tulsi Gabbard's position on the following issues?
T2Q11C_9;[Economy and Taxes] How strongly would you oppose or favor Tulsi Gabbard's position on the following issues?
T2Q11D_9;[Healthcare] How strongly would you oppose or favor Tulsi Gabbard's position on the following issues?
T2Q11E_9;[Foreign Policy] How strongly would you oppose or favor Tulsi Gabbard's position on the following issues?
T2Q11A_10;[Immigration] How strongly would you oppose or favor Elizabeth Warren's position on the following issues?
T2Q11B_10;[Environment] How strongly would you oppose or favor Elizabeth Warren's position on the following issues?
T2Q11C_10;[Economy and Taxes] How strongly would you oppose or favor Elizabeth Warren's position on the following issues?
T2Q11D_10;[Healthcare] How strongly would you oppose or favor Elizabeth Warren's position on the following issues?
T2Q11E_10;[Foreign Policy] How strongly would you oppose or favor Elizabeth Warren's position on the following issues?
T2Q11A_11;[Immigration] How strongly would you oppose or favor Andrew Yang's position on the following issues?
T2Q11B_11;[Environment] How strongly would you oppose or favor Andrew Yang's position on the following issues?
T2Q11C_11;[Economy and Taxes] How strongly would you oppose or favor Andrew Yang's position on the following issues?
T2Q11D_11;[Healthcare] How strongly would you oppose or favor Andrew Yang's position on the following issues?
T2Q11E_11;[Foreign Policy] How strongly would you oppose or favor Andrew Yang's position on the following issues?
T2Q11A_12;[Immigration] How strongly would you oppose or favor Cory Booker's position on the following issues?
T2Q11B_12;[Environment] How strongly would you oppose or favor Cory Booker's position on the following issues?
T2Q11C_12;[Economy and Taxes] How strongly would you oppose or favor Cory Booker's position on the following issues?
T2Q11D_12;[Healthcare] How strongly would you oppose or favor Cory Booker's position on the following issues?
T2Q11E_12;[Foreign Policy] How strongly would you oppose or favor Cory Booker's position on the following issues?
T2Q11A_13;[Immigration] How strongly would you oppose or favor Beto O'Rourke's position on the following issues?
T2Q11B_13;[Environment] How strongly would you oppose or favor Beto O'Rourke's position on the following issues?
T2Q11C_13;[Economy and Taxes] How strongly would you oppose or favor Beto O'Rourke's position on the following issues?
T2Q11D_13;[Healthcare] How strongly would you oppose or favor Beto O'Rourke's position on the following issues?
T2Q11E_13;[Foreign Policy] How strongly would you oppose or favor Beto O'Rourke's position on the following issues?
T2Q11A_14;[Immigration] How strongly would you oppose or favor Tom Steyer's position on the following issues?
T2Q11B_14;[Environment] How strongly would you oppose or favor Tom Steyer's position on the following issues?
T2Q11C_14;[Economy and Taxes] How strongly would you oppose or favor Tom Steyer's position on the following issues?
T2Q11D_14;[Healthcare] How strongly would you oppose or favor Tom Steyer's position on the following issues?
T2Q11E_14;[Foreign Policy] How strongly would you oppose or favor Tom Steyer's position on the following issues?
T2Q11A_15;[Immigration] How strongly would you oppose or favor Steve Bullock's position on the following issues?
T2Q11B_15;[Environment] How strongly would you oppose or favor Steve Bullock's position on the following issues?
T2Q11C_15;[Economy and Taxes] How strongly would you oppose or favor Steve Bullock's position on the following issues?
T2Q11D_15;[Healthcare] How strongly would you oppose or favor Steve Bullock's position on the following issues?
T2Q11E_15;[Foreign Policy] How strongly would you oppose or favor Steve Bullock's position on the following issues?
T2Q11A_17;[Immigration] How strongly would you oppose or favor Marianne Williamson's position on the following issues?
T2Q11B_17;[Environment] How strongly would you oppose or favor Marianne Williamson's position on the following issues?
T2Q11C_17;[Economy and Taxes] How strongly would you oppose or favor Marianne Williamson's position on the following issues?
T2Q11D_17;[Healthcare] How strongly would you oppose or favor Marianne Williamson's position on the following issues?
T2Q11E_17;[Foreign Policy] How strongly would you oppose or favor Marianne Williamson's position on the following issues?
T2Q11A_18;[Immigration] How strongly would you oppose or favor Tim Ryan's position on the following issues?
T2Q11B_18;[Environment] How strongly would you oppose or favor Tim Ryan's position on the following issues?
T2Q11C_18;[Economy and Taxes] How strongly would you oppose or favor Tim Ryan's position on the following issues?
T2Q11D_18;[Healthcare] How strongly would you oppose or favor Tim Ryan's position on the following issues?
T2Q11E_18;[Foreign Policy] How strongly would you oppose or favor Tim Ryan's position on the following issues?
T2Q11A_21;[Immigration] How strongly would you oppose or favor Michael Bennet's position on the following issues?
T2Q11B_21;[Environment] How strongly would you oppose or favor Michael Bennet's position on the following issues?
T2Q11C_21;[Economy and Taxes] How strongly would you oppose or favor Michael Bennet's position on the following issues?
T2Q11D_21;[Healthcare] How strongly would you oppose or favor Michael Bennet's position on the following issues?
T2Q11E_21;[Foreign Policy] How strongly would you oppose or favor Michael Bennet's position on the following issues?
T2Q11A_22;[Immigration] How strongly would you oppose or favor Amy Klobuchar's position on the following issues?
T2Q11B_22;[Environment] How strongly would you oppose or favor Amy Klobuchar's position on the following issues?
T2Q11C_22;[Economy and Taxes] How strongly would you oppose or favor Amy Klobuchar's position on the following issues?
T2Q11D_22;[Healthcare] How strongly would you oppose or favor Amy Klobuchar's position on the following issues?
T2Q11E_22;[Foreign Policy] How strongly would you oppose or favor Amy Klobuchar's position on the following issues?
T2Q11A_23;[Immigration] How strongly would you oppose or favor Bill de Blasio's position on the following issues?
T2Q11B_23;[Environment] How strongly would you oppose or favor Bill de Blasio's position on the following issues?
T2Q11C_23;[Economy and Taxes] How strongly would you oppose or favor Bill de Blasio's position on the following issues?
T2Q11D_23;[Healthcare] How strongly would you oppose or favor Bill de Blasio's position on the following issues?
T2Q11E_23;[Foreign Policy] How strongly would you oppose or favor Bill de Blasio's position on the following issues?
T2Q11A_25;[Immigration] How strongly would you oppose or favor Bill Weld's position on the following issues?
T2Q11B_25;[Environment] How strongly would you oppose or favor Bill Weld's position on the following issues?
T2Q11C_25;[Economy and Taxes] How strongly would you oppose or favor Bill Weld's position on the following issues?
T2Q11D_25;[Healthcare] How strongly would you oppose or favor Bill Weld's position on the following issues?
T2Q11E_25;[Foreign Policy] How strongly would you oppose or favor Bill Weld's position on the following issues?
T2Q11A_26;[Immigration] How strongly would you oppose or favor President Donald Trump's position on the following issues?
T2Q11B_26;[Environment] How strongly would you oppose or favor President Donald Trump's position on the following issues?
T2Q11C_26;[Economy and Taxes] How strongly would you oppose or favor President Donald Trump's position on the following issues?
T2Q11D_26;[Healthcare] How strongly would you oppose or favor President Donald Trump's position on the following issues?
T2Q11E_26;[Foreign Policy] How strongly would you oppose or favor President Donald Trump's position on the following issues?
T2Q11A_27;[Immigration] How strongly would you oppose or favor Mark Sanford's position on the following issues?
T2Q11B_27;[Environment] How strongly would you oppose or favor Mark Sanford's position on the following issues?
T2Q11C_27;[Economy and Taxes] How strongly would you oppose or favor Mark Sanford's position on the following issues?
T2Q11D_27;[Healthcare] How strongly would you oppose or favor Mark Sanford's position on the following issues?
T2Q11E_27;[Foreign Policy] How strongly would you oppose or favor Mark Sanford's position on the following issues?
T2Q11A_28;[Immigration] How strongly would you oppose or favor Joe Walsh's position on the following issues?
T2Q11B_28;[Environment] How strongly would you oppose or favor Joe Walsh's position on the following issues?
T2Q11C_28;[Economy and Taxes] How strongly would you oppose or favor Joe Walsh's position on the following issues?
T2Q11D_28;[Healthcare] How strongly would you oppose or favor Joe Walsh's position on the following issues?
T2Q11E_28;[Foreign Policy] How strongly would you oppose or favor Joe Walsh's position on the following issues?
T2Q12A;[Seeing to it that everyone has equal opportunities] How important or unimportant would you say each of the following is to you?
T2Q12B;[Leaving people and companies free to compete economically] How important or unimportant would you say each of the following is to you?
T2Q12C;[Making one’s own choices] How important or unimportant would you say each of the following is to you?
T2Q12D;[Not having to worry about being fired] How important or unimportant would you say each of the following is to you?
T2Q12E;[Making sure that nobody suffers from lack of food or shelter] How important or unimportant would you say each of the following is to you?
T2Q12F;[Earning as much money as possible] How important or unimportant would you say each of the following is to you?
T2Q12R;[Having everyone pay their fair share of taxes] How important or unimportant would you say each of the following is to you?
T2Q13;[More equal society - Get as rich as they can] Where would you place yourself on this scale?
T2Q14;[More help for the poor - Taxes should be kept low] Where would you place yourself on this scale?
T2Q17A;[Free to choose… - Required to have health insurance] Where would you place yourself on this scale?
T2Q17B;[Forced to leave - Allowed to stay] Where would you place yourself on this scale?
T2Q17C;[Win at all costs - Focus on the issues and are truthful] Where would you place yourself on this scale?
T2Q17D;[Not successful at all - Very successful] How successful do you think the US is in achieving that?
T2Q18A;[Freedom] How would you rate the US on how successful we are at implementing each of the following values?
T2Q18B;[Justice] How would you rate the US on how successful we are at implementing each of the following values?
T2Q18C;[Equality] How would you rate the US on how successful we are at implementing each of the following values?
T2Q18D;[Democracy] How would you rate the US on how successful we are at implementing each of the following values?
T2Q15A;[Public officials care a lot about what people like me think.] How strongly would you disagree or agree with the following statements?
T2Q15B;[Most public policy issues are so complicated that a person like me can’t really understand what’s going on.] How strongly would you disagree or agree with the following statements?
T2Q15C;[People like me don't have any say about what the government does.] How strongly would you disagree or agree with the following statements?
T2Q15D;[I have opinions about politics that are worth listening to.] How strongly would you disagree or agree with the following statements?
T2Q16A;[They just don’t know enough] How strongly would you agree or disagree with each of the following statements about those people?
T2Q16B;[They believe some things that aren’t true] How strongly would you agree or disagree with each of the following statements about those people?
T2Q16C;[They are not thinking clearly] How strongly would you agree or disagree with each of the following statements about those people?
T2Q16D;[They have good reasons, there just are better ones on the other side] How strongly would you agree or disagree with each of the following statements about those people?
T2Q16E;[They are looking out for their own interests] How strongly would you agree or disagree with each of the following statements about those people?
T2PK1;Which political party holds the majority in the Senate?
T2PK2;Which political party holds the majority in the House?
T2PK3;About how many undocumented immigrants are in the US?
T2PK4;Which of the following countries is NOT part of the Paris Agreement on the environment?
T2PK6;What percentage is the highest tax rate for capital gains taxes?
T2PK5;The Affordable Care Act allows which of the following?
T2PK7;Which of the following organizations dealing with trade has the most countries?
SURV_MODE;Survey interview mode (online or phone)
T2SURV_MODE;Survey interview mode (online or PAPI)
SURV_LANG;Survey Interview Language
T2SURV_LANG;Survey Interview Language
PARTYID3;3-level political party identification
T2PARTYID3;3-level political party identification
LGBT;Respondent sexual orientation
GENDER;Respondent gender
AGE4;Age - 4 Categories
AGE7;Age - 7 Categories
RACETHNICITY;Combined Race/Ethnicity
EDUC;Education (Highest Degree Received)
EDUC4;4-level education
MARITAL;Marital Status
EMPLOY;Current Employment Status
INCOME;Household Income
STATE;State
REGION4;4-level region
REGION9;9-level region
METRO;Metropolitan area flag
HOUSING;Home Ownership
HOME_TYPE;Type of building of panelists' residence
PHONESERVICE;Telephone service for the household
